public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,66,dcdbaff96ce49a104bc5d3abe2a52f9a98181ce3e6b1edfb86e8ef144cd28bee,100000,BlkGenerator,705,0,141747.4627204173
47.239.100.174,scalability,66,dcdbaff96ce49a104bc5d3abe2a52f9a98181ce3e6b1edfb86e8ef144cd28bee,100000,BlkAdder,0,0,0
47.239.100.174,scalability,67,3d9ba97ac297385c5949bbc3c9e211af8a8c20ddcf38809de5321a7f1bcfd0e9,100000,BlkGenerator,730,0,136802.83564917732
47.239.100.174,scalability,67,3d9ba97ac297385c5949bbc3c9e211af8a8c20ddcf38809de5321a7f1bcfd0e9,100000,BlkAdder,0,0,0
47.239.100.174,scalability,68,461f3e5ed56dd7e745211435fa0907b95be59e5a8ef50339e1a0764b21fe1c53,100000,BlkGenerator,728,0,137326.2308206753
47.239.100.174,scalability,68,461f3e5ed56dd7e745211435fa0907b95be59e5a8ef50339e1a0764b21fe1c53,100000,BlkAdder,0,0,0
47.239.100.174,scalability,69,e2e2f241500961cea02e770afb0081ac6459ce5555445ba9a8d16701a68f12ce,100000,BlkGenerator,718,0,139149.7947540527
47.239.100.174,scalability,69,e2e2f241500961cea02e770afb0081ac6459ce5555445ba9a8d16701a68f12ce,100000,BlkAdder,0,0,0
47.239.100.174,scalability,70,44ea3ed210354be50575457656e487b085b4c05bd8f60f4d80e491821b83597a,100000,BlkGenerator,723,0,138186.25019173342
47.239.100.174,scalability,70,44ea3ed210354be50575457656e487b085b4c05bd8f60f4d80e491821b83597a,100000,BlkAdder,0,0,0
47.239.100.174,scalability,71,4f9c1247191ff17f99f2df531859ab5fce774760559be29cf593cc0ca1eed79d,100000,BlkGenerator,711,0,140494.82276578108
47.239.100.174,scalability,71,4f9c1247191ff17f99f2df531859ab5fce774760559be29cf593cc0ca1eed79d,100000,BlkAdder,0,0,0
47.239.100.174,scalability,72,9115815c5fc52d7441d4647051527201daf9c1af25bd42339a74f0b8c9c04823,100000,BlkGenerator,712,0,140300.86116668582
47.239.100.174,scalability,72,9115815c5fc52d7441d4647051527201daf9c1af25bd42339a74f0b8c9c04823,100000,BlkAdder,0,0,0
47.239.100.174,scalability,73,abfaeff9caf75cabcd00a7105d8b5a6ebe7c166056c33a093cdcc98df6333e07,100000,BlkGenerator,734,0,136234.2138604689
47.239.100.174,scalability,73,abfaeff9caf75cabcd00a7105d8b5a6ebe7c166056c33a093cdcc98df6333e07,100000,BlkAdder,0,0,0
47.239.100.174,scalability,74,f0a34df393ff22e5df5be6275283d7d708a7ce0cfcbd546b9801b360ed54708d,100000,BlkGenerator,706,0,141549.42835263358
47.239.100.174,scalability,74,f0a34df393ff22e5df5be6275283d7d708a7ce0cfcbd546b9801b360ed54708d,100000,BlkAdder,0,0,0
47.239.100.174,scalability,75,0daec67b88049150ad98f75dba4041d9a963b1b27b5e173f79cfbed07c5cea3c,100000,BlkGenerator,701,0,142513.075574684
47.239.100.174,scalability,75,0daec67b88049150ad98f75dba4041d9a963b1b27b5e173f79cfbed07c5cea3c,100000,BlkAdder,0,0,0
47.239.100.174,scalability,76,81b7d4629c7e94547b4431de79103d8ebc531a5135712140fb857cf29ff82f6c,100000,BlkGenerator,713,0,140202.50850328212
47.239.100.174,scalability,76,81b7d4629c7e94547b4431de79103d8ebc531a5135712140fb857cf29ff82f6c,100000,BlkAdder,0,0,0
47.239.100.174,scalability,77,94d40dfc3001fb1270ce40a7dbe0ced99adfb7b956e0512b280c6819dff3848b,100000,BlkGenerator,702,0,142289.81304541463
47.239.100.174,scalability,77,94d40dfc3001fb1270ce40a7dbe0ced99adfb7b956e0512b280c6819dff3848b,100000,BlkAdder,0,0,0
47.239.100.174,scalability,78,2db84ae63f4b4773f9aa7b72e1af79c21d134b42af1a6c544e5a966339ed20cc,100000,BlkGenerator,707,0,141246.12985604195
47.239.100.174,scalability,78,2db84ae63f4b4773f9aa7b72e1af79c21d134b42af1a6c544e5a966339ed20cc,100000,BlkAdder,0,0,0
47.239.100.174,scalability,79,f7243375505680c06274c079d9c8b6b6a813b2e62b1a9b028a517273136db202,100000,BlkGenerator,733,0,136300.6902266953
47.239.100.174,scalability,79,f7243375505680c06274c079d9c8b6b6a813b2e62b1a9b028a517273136db202,100000,BlkAdder,0,0,0
47.239.100.174,scalability,80,1faf547f29b3e4c8ac4db546e6ff058d26b39f36c9ff0a72d9842b5c69093a46,100000,BlkGenerator,719,0,139080.12405947066
47.239.100.174,scalability,80,1faf547f29b3e4c8ac4db546e6ff058d26b39f36c9ff0a72d9842b5c69093a46,100000,BlkAdder,0,0,0
47.239.100.174,scalability,81,4b614b5c80f3ac9485a2f14407462c5f9d98f2fa6dd914e32d6989d3263c9a34,100000,BlkGenerator,703,0,142052.315026578
47.239.100.174,scalability,81,4b614b5c80f3ac9485a2f14407462c5f9d98f2fa6dd914e32d6989d3263c9a34,100000,BlkAdder,0,0,0
47.239.100.174,scalability,82,5f82f85397fffab4a14299b4ab0553c2d227e2b1047e14d01a70174ff44c1ec4,100000,BlkGenerator,743,0,134542.60224228702
47.239.100.174,scalability,82,5f82f85397fffab4a14299b4ab0553c2d227e2b1047e14d01a70174ff44c1ec4,100000,BlkAdder,0,0,0
47.239.100.174,scalability,83,b4f357420b6619333a4e87b9714f0f845f284c1f0819f74ce2c48cbb165c6fa4,100000,BlkGenerator,704,0,141868.52192861744
47.239.100.174,scalability,83,b4f357420b6619333a4e87b9714f0f845f284c1f0819f74ce2c48cbb165c6fa4,100000,BlkAdder,0,0,0
47.239.100.174,scalability,84,72aa3f92750f0bb51276faba54dbb7e21f27208255c0fdd69c4b84f10af26e77,100000,BlkGenerator,713,0,140159.2770023855
47.239.100.174,scalability,84,72aa3f92750f0bb51276faba54dbb7e21f27208255c0fdd69c4b84f10af26e77,100000,BlkAdder,0,0,0
47.239.100.174,scalability,85,694e29275a75f7dfd2c73c22b5114fa210943378a642fb80387dab1d52b42019,100000,BlkGenerator,707,0,141304.40926278665
47.239.100.174,scalability,85,694e29275a75f7dfd2c73c22b5114fa210943378a642fb80387dab1d52b42019,100000,BlkAdder,0,0,0
47.239.100.174,scalability,86,210c3fd66c4912b6ac6273b5c0b94290ebd843f46767a9e2c050141ebf0d8521,100000,BlkGenerator,710,0,140778.25032343803
47.239.100.174,scalability,86,210c3fd66c4912b6ac6273b5c0b94290ebd843f46767a9e2c050141ebf0d8521,100000,BlkAdder,0,0,0
47.239.100.174,scalability,87,98962287d8e1628b5f28faecbe984ee75d45d928545ade296d51bdc3f4be1330,100000,BlkGenerator,700,0,142656.60842472865
47.239.100.174,scalability,87,98962287d8e1628b5f28faecbe984ee75d45d928545ade296d51bdc3f4be1330,100000,BlkAdder,0,0,0
47.239.100.174,scalability,88,6b0509a7dbb74799f96f4efc7a971a6569235498f23d7c938dd34dbc415c856b,100000,BlkGenerator,716,0,139634.38133591006
47.239.100.174,scalability,88,6b0509a7dbb74799f96f4efc7a971a6569235498f23d7c938dd34dbc415c856b,100000,BlkAdder,0,0,0
47.239.100.174,scalability,89,126c98237f433189ecba40cd125857abc38247347a939565ddfab19e8239c398,100000,BlkGenerator,708,0,141117.96474026534
47.239.100.174,scalability,89,126c98237f433189ecba40cd125857abc38247347a939565ddfab19e8239c398,100000,BlkAdder,0,0,0
47.239.100.174,scalability,90,c326b09fd0bcf90e155f89d57150ce73d0743c033d863204dd0f4e0cd63365b4,100000,BlkGenerator,714,0,140021.31124357128
47.239.100.174,scalability,90,c326b09fd0bcf90e155f89d57150ce73d0743c033d863204dd0f4e0cd63365b4,100000,BlkAdder,0,0,0
