public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.238.136.192,banknote,76,81b7d4629c7e94547b4431de79103d8ebc531a5135712140fb857cf29ff82f6c,7486,BlkGenerator,8,0,124239.03590508139
47.238.136.192,banknote,76,81b7d4629c7e94547b4431de79103d8ebc531a5135712140fb857cf29ff82f6c,7486,BlkAdder,0,0,0
47.238.136.192,banknote,77,94d40dfc3001fb1270ce40a7dbe0ced99adfb7b956e0512b280c6819dff3848b,8655,BlkGenerator,8,0,113610.54305839582
47.238.136.192,banknote,77,94d40dfc3001fb1270ce40a7dbe0ced99adfb7b956e0512b280c6819dff3848b,8655,BlkAdder,0,0,0
47.238.136.192,banknote,78,2db84ae63f4b4773f9aa7b72e1af79c21d134b42af1a6c544e5a966339ed20cc,5658,BlkGenerator,6,0,155303.61857431277
47.238.136.192,banknote,78,2db84ae63f4b4773f9aa7b72e1af79c21d134b42af1a6c544e5a966339ed20cc,5658,BlkAdder,0,0,0
47.238.136.192,banknote,79,f7243375505680c06274c079d9c8b6b6a813b2e62b1a9b028a517273136db202,5019,BlkGenerator,7,0,133761.36971642592
47.238.136.192,banknote,79,f7243375505680c06274c079d9c8b6b6a813b2e62b1a9b028a517273136db202,5019,BlkAdder,0,0,0
47.238.136.192,banknote,80,1faf547f29b3e4c8ac4db546e6ff058d26b39f36c9ff0a72d9842b5c69093a46,7655,BlkGenerator,8,0,124069.47890818858
47.238.136.192,banknote,80,1faf547f29b3e4c8ac4db546e6ff058d26b39f36c9ff0a72d9842b5c69093a46,7655,BlkAdder,0,0,0
47.238.136.192,banknote,81,4b614b5c80f3ac9485a2f14407462c5f9d98f2fa6dd914e32d6989d3263c9a34,6822,BlkGenerator,7,0,126774.84787018255
47.238.136.192,banknote,81,4b614b5c80f3ac9485a2f14407462c5f9d98f2fa6dd914e32d6989d3263c9a34,6822,BlkAdder,0,0,0
